pricing_url,SubModel,Current price,COE,Road tax,OMV,ARF,VES,EEAI,spec_url,Model,Engine Type,Battery Type,Fuel Type,Drive Type,Transmission,Power,Torque,Acceleration,Top Speed,Vehicle Type,Seating Capacity,Dimensions (L x W x H),Wheelbase,Min Turning Radius,Kerb Weight,Boot/Cargo Capacity,Battery Capacity,Drive Range,Energy Consumption,AC Max Charging Rate,AC Charging Time,DC Max Charging Rate,DC Charging Time,Suspension (Front),Suspension (Rear),Brakes (Front),Brakes (Rear),Rim Size
https://www.sgcarmart.com/new-cars/info/22028/dongfeng-007-electric/pricing,Premium 73.48 kWh,"$219,888","$129,910 (Category B COE)","$2,088 /yr","$27,621",$669 (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22028/dongfeng-007-electric/specs,Dongfeng 007 Electric Performance 73.48 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Rear-wheel drive,Single-speed (A),200 kW (268 bhp),310 Nm,5.8 s (0-100 km/h),173 km/h,Sedan,5,4880 x 1895 x 1465 mm,"2,915 mm",unknown,"1,852 kg",452 L,73.48 kWh,650 km,4.7 km/kWh,6.6 kW,14 h,200 kW,0.2 h,McPherson Independent,Multi-Link Independent,Disc,Disc,"18 """
https://www.sgcarmart.com/new-cars/info/22028/dongfeng-007-electric/pricing,Performance 73.48 kWh,"$245,888","$129,910 (Category B COE)","$5,744 /yr","$30,767","$5,074 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22028/dongfeng-007-electric/specs,Dongfeng 007 Electric Performance 73.48 kWh (A),Dual Electric Motors,Lithium Iron Phosphate,Electric,All-wheel drive,Single-speed (A),400 kW (536 bhp),620 Nm,3.9 s (0-100 km/h),173 km/h,Sedan,5,4880 x 1895 x 1465 mm,"2,915 mm",unknown,"1,979 kg",452 L,73.48 kWh,565 km,6.1 km/kWh,6.6 kW,14 h,200 kW,0.2 h,McPherson Independent,Multi-Link Independent,Disc,Disc,"19 """
https://www.sgcarmart.com/new-cars/info/21506/tesla-model-y-electric/pricing,Premium RWD 110 62.5 kWh,"$215,999","$123,890 (Category A COE)","$1,560 /yr","$44,677","$26,886 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21506/tesla-model-y-electric/specs,Tesla Model Y Electric L Premium AWD 88 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Rear-wheel drive,Single-speed (A),110 kW (148 bhp),350 Nm,9.6 s (0-100 km/h),201 km/h,SUV,5,4790 x 1982 x 1624 mm,"2,890 mm","6,050 mm","1,921 kg",2255 L,62.5 kWh,466 km,6.5 km/kWh,11 kW,5.5 h,175 kW,0.25 h,Double Wishbone,Multi-Link,Ventilated Disc,Ventilated Disc,"19 """
https://www.sgcarmart.com/new-cars/info/21506/tesla-model-y-electric/pricing,Premium Long Range RWD 84 kWh,"$237,999","$129,910 (Category B COE)","$2,205 /yr","$48,493","$34,137 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21506/tesla-model-y-electric/specs,Tesla Model Y Electric L Premium AWD 88 kWh (A),Single Electric Motor,Lithium-ion,Electric,Rear-wheel drive,Single-Speed (A),220 kW (295 bhp),350 Nm,5.8 s (0-100 km/h),201 km/h,SUV,5,4790 x 1982 x 1624 mm,"2,890 mm","6,050 mm","1,901 kg",2255 L,84 kWh,661 km,7.04 km/kWh,11 kW,7.5 h,250 kW,0.25 h,Double Wishbone,Multi-Link,Ventilated Disc,Ventilated Disc,"19 """
https://www.sgcarmart.com/new-cars/info/21506/tesla-model-y-electric/pricing,L Premium AWD 88 kWh,"$264,999","$129,910 (Category B COE)","$5,400 /yr","$54,365","$45,294 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21506/tesla-model-y-electric/specs,Tesla Model Y Electric L Premium AWD 88 kWh (A),Dual Electric Motors,Lithium-ion,Electric,All-wheel drive,Single-speed (A),378 kW (507 bhp),590 Nm,5 s (0-100 km/h),201 km/h,SUV,6,4976 x 1920 x 1668 mm,"3,040 mm","6,250 mm","2,088 kg",420 L,88 kWh,681 km,6.8 km/kWh,11 kW,8 h,250 kW,0.25 h,Double Wishbone,Multi-Link,Ventilated Disc,Ventilated Disc,"19 """
https://www.sgcarmart.com/new-cars/info/22096/aion-ut-electric/pricing,Standard 44.12 kWh,"$170,988","$123,890 (Category A COE)","$1,502 /yr","$19,500",- (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22096/aion-ut-electric/specs,Aion UT Electric Premium 60 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Front-wheel drive,Single-speed (A),100 kW (134 bhp),145 Nm,12 s (0-100 km/h),145 km/h,Hatchback,5,4270 x 1850 x 1575 mm,"2,750 mm","5,200 mm","1,580 kg",440 L,44.12 kWh,335 km,6.4 km/kWh,7 kW,6 h,70 kW,0.25 h,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,"16 """
https://www.sgcarmart.com/new-cars/info/22096/aion-ut-electric/pricing,Premium 60 kWh,"$174,988","$123,890 (Category A COE)","$1,502 /yr","$22,000",- (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22096/aion-ut-electric/specs,Aion UT Electric Premium 60 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Front-wheel drive,Single-speed (A),100 kW (134 bhp),210 Nm,10 s (0-100 km/h),160 km/h,Hatchback,5,4270 x 1850 x 1575 mm,"2,750 mm","5,400 mm","1,700 kg",440 L,60 kWh,410 km,5.7 km/kWh,7 kW,8 h,80 kW,0.25 h,MacPherson Strut,Torsion Beam,Ventilated Disc,Disc,"17 """
https://www.sgcarmart.com/new-cars/info/22129/mg-4-urban-ev/pricing,Luxury 54 kWh,"$183,888","$123,890 (Category A COE)","$1,496 /yr","$19,000",- (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22129/mg-4-urban-ev/specs,MG 4 Urban EV Luxury 54 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Front-wheel drive,Single-speed (A),99 kW (133 bhp),250 Nm,9.6 s (0-100 km/h),160 km/h,Hatchback,5,4395 x 1842 x 1549 mm,"2,744 mm","5,250 mm","1,520 kg",480 L,54 kWh,405 km,6.5 km/kWh,11 kW,8.5 h,82 kW,0.5 h,MacPherson Strut,Torsion Beam,Disc,Disc,"17 """
https://www.sgcarmart.com/new-cars/info/22138/subaru-e-outback-electric/pricing,AWD 74.7 kWh,"$221,800","$129,910 (Category B COE)","$4,712 /yr","$42,889","$23,489 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22138/subaru-e-outback-electric/specs,Subaru E-Outback Electric AWD 74.7 kWh (A),Dual Electric Motors,Lithium-ion,Electric,All-wheel drive,Single-speed (A),280 kW (375 bhp),536 Nm,4.5 s (0-100 km/h),180 km/h,SUV,5,4845 x 1860 x 1675 mm,"2,850 mm","5,600 mm","2,010 kg",619 L,74.7 kWh,443 km,5.7 km/kWh,22 kW,2 h,150 kW,0.5 h,Macpherson Strut,Double Wishbone,Ventilated Disc,Ventilated Disc,"20 """
https://www.sgcarmart.com/new-cars/info/21733/maxus-mifa-9-electric/pricing,"Luxury 90 kWh
FACELIFT","$274,999","$129,910 (Category B COE)","$1,971 /yr","$45,000","$27,500 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21733/maxus-mifa-9-electric/specs,Maxus MIFA 9 Electric Luxury 90 kWh (A),Single Electric Motor,Lithium-ion,Electric,Front-wheel drive,Single-speed (A),180 kW (241 bhp),350 Nm,9.2 s (0-100 km/h),180 km/h,MPV,7,5270 x 2000 x 1840 mm,"3,200 mm","6,350 mm","2,535 kg",466 L,90 kWh,430 km,4.6 km/kWh,11 kW,5.5 h,120 kW,0.6 h,Macpherson Independent,Multi-Link Independent,Disc,Disc,"19 """
https://www.sgcarmart.com/new-cars/info/21733/maxus-mifa-9-electric/pricing,"Premium 90 kWh
FACELIFT","$289,999","$129,910 (Category B COE)","$1,971 /yr","$50,000","$37,000 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21733/maxus-mifa-9-electric/specs,Maxus MIFA 9 Electric Luxury 90 kWh (A),Single Electric Motor,Lithium-ion,Electric,Front-wheel drive,Single-speed (A),180 kW (241 bhp),350 Nm,9.2 s (0-100 km/h),180 km/h,MPV,7,5270 x 2000 x 1840 mm,"3,200 mm","6,350 mm","2,535 kg",466 L,90 kWh,430 km,4.6 km/kWh,11 kW,5.5 h,120 kW,0.6 h,Macpherson Independent,Multi-Link Independent,Disc,Disc,"19 """
https://www.sgcarmart.com/new-cars/info/22034/proton-emas-7-electric/pricing,Premium [100kW] 60.22 kWh,"$177,988","$123,890 (Category A COE)","$1,502 /yr","$26,000",- (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22034/proton-emas-7-electric/specs,Proton e.MAS 7 Electric Premium [100kW] 60.22 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Front-wheel drive,Single-speed (A),100 kW (134 bhp),320 Nm,9.9 s (0-100 km/h),175 km/h,SUV,5,4615 x 1901 x 1670 mm,"2,750 mm","5,400 mm","1,840 kg",461 L,60.22 kWh,410 km,6 km/kWh,11 kW,6.1 h,100 kW,0.3 h,MacPherson Strut,Multi-Link,Ventilated Disc,Disc,"19 """
https://www.sgcarmart.com/new-cars/info/12969/polestar-2-electric/pricing,Long Range Dual Motor Performance Pack 82 kWh,"$290,000","$129,910 (Category B COE)","$4,962 /yr","$58,600","$53,340 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/12969/polestar-2-electric/specs,Polestar 2 Electric Long Range Dual Motor Performance Pack 82 kWh (A),Dual Electric Motors,Lithium-ion,Electric,All-wheel drive,Single-speed (A),350 kW (469 bhp),740 Nm,4.2 s (0-100 km/h),205 km/h,Luxury,5,4606 x 1859 x 1473 mm,"2,735 mm","5,750 mm","2,180 kg",407 L,82 kWh,568 km,5.4 km/kWh,11 kW,8 h,205 kW,0.5 h,MacPherson Strut,Multi-Link,Ventilated Disc,Ventilated Disc,"20 """
https://www.sgcarmart.com/new-cars/info/21847/byd-m6-electric/pricing,7-Seater 71.8 kWh,"$186,388","$123,890 (Category A COE)","$1,502 /yr","$29,800","$3,720 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21847/byd-m6-electric/specs,BYD M6 Electric 7-Seater 71.8 kWh (A),Electric Motor,Blade Battery,Electric,Front-wheel drive,Single-speed (A),100 kW (134 bhp),250 Nm,11.9 s (0-100 km/h),180 km/h,MPV,7,4710 x 1810 x 1690 mm,"2,800 mm","5,800 mm","1,915 kg",180 - 580 L,71.8 kWh,440 km,5.35 km/kWh,7 kW,13 h,115 kW,1.2 h,MacPherson Strut,Multi-Link,Ventilated Disc,Disc,"17 """
https://www.sgcarmart.com/new-cars/info/21924/dongfeng-box-electric/pricing,Essential 42.3 kWh,"$161,888","$123,890 (Category A COE)","$1,326 /yr","$21,324",- (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21924/dongfeng-box-electric/specs,Dongfeng Box Electric Essential 42.3 kWh (A),Electric Motor,Lithium Iron Phosphate,Electric,Front-wheel drive,Single-speed (A),70 kW (94 bhp),160 Nm,unknown,140 km/h,Hatchback,5,4030 x 1810 x 1570 mm,"2,660 mm",unknown,"1,342 kg",326 - 945 L,42.3 kWh,430 km,,6.6 kW,7 h,60 kW,0.7 h,McPherson Independent Suspension,Torsion Beam Non-Independent Suspension,Disc,Disc,"17 """
https://www.sgcarmart.com/new-cars/info/21839/maxus-mifa-7-electric/pricing,Elite [108kW] 77kWh,"$209,999","$123,890 (Category A COE)","$1,548 /yr",-,- (After VES & EEAI rebates),"$22,500 (Rebate)",,https://www.sgcarmart.com/new-cars/info/21839/maxus-mifa-7-electric/specs,Maxus MIFA 7 Electric Elite [108kW] 77kWh (A),Single Electric Motor,Lithium-ion,Electric,Front-wheel drive,Single-speed (A),108 kW (145 bhp),350 Nm,11.9 s (0-100 km/h),170 km/h,MPV,7,4907 x 1885 x 1756 mm,"2,975 mm","6,000 mm","2,200 kg",280 L,77 kWh,410 km,4.8 km/kWh,11 kW,4.7 h,120 kW,0.5 h,MacPherson Strut,Multi-Link,Disc,Disc,"18 """
https://www.sgcarmart.com/new-cars/info/21927/zeekr-009-electric/pricing,Deluxe 116 kWh,"$363,999","$129,910 (Category B COE)","$3,398 /yr","$66,000","$71,000 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21927/zeekr-009-electric/specs,ZEEKR 009 Electric Deluxe 116 kWh (A),Electric Motor,Lithium Nickel Manganese Cobalt,Electric,Front-wheel drive,Single-speed (A),250 kW (335 bhp),373 Nm,7.9 s (0-100 km/h),210 km/h,MPV,7,5209 x 2024 x 1812 mm,"3,205 mm","6,200 mm","2,770 kg",574 - 2979 L,116 kWh,604 km,4.7 km/kWh,11 kW,13.5 h,150 kW,0.5 h,Double Wishbone Virtual Double Ball Head,Integrated Multi-Link,Ventilated Disc,Ventilated Disc,"19 """
https://www.sgcarmart.com/new-cars/info/21927/zeekr-009-electric/pricing,Premium 116 kWh,"$418,999","$129,910 (Category B COE)","$6,526 /yr","$79,000","$103,500 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21927/zeekr-009-electric/specs,ZEEKR 009 Electric Deluxe 116 kWh (A),Dual Electric Motor,Lithium Nickel Manganese Cobalt,Electric,All-wheel drive,Single-speed (A),450 kW (603 bhp),693 Nm,4.5 s (0-100 km/h),210 km/h,MPV,7,5209 x 2024 x 1812 mm,"3,205 mm","6,200 mm","2,870 kg",574 - 2979 L,116 kWh,582 km,4.5 km/kWh,11 kW,13.5 h,150 kW,0.5 h,Double Wishbone Virtual Double Ball Head,Integrated Multi-Link,Ventilated Disc,Ventilated Disc,"19 """
https://www.sgcarmart.com/new-cars/info/21927/zeekr-009-electric/pricing,Flagship 116 kWh,"$428,999","$129,910 (Category B COE)","$6,526 /yr","$82,000","$112,400 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21927/zeekr-009-electric/specs,ZEEKR 009 Electric Deluxe 116 kWh (A),Dual Electric Motor,Lithium Nickel Manganese Cobalt,Electric,All-wheel drive,Single-speed (A),450 kW (603 bhp),693 Nm,4.5 s (0-100 km/h),210 km/h,MPV,6,5209 x 2024 x 1812 mm,"3,205 mm","6,200 mm","2,870 kg",574 - 2979 L,116 kWh,582 km,4.5 km/kWh,11 kW,13.5 h,150 kW,0.5 h,Double Wishbone Virtual Double Ball Head,Integrated Multi-Link,Ventilated Disc,Ventilated Disc,"19 """
https://www.sgcarmart.com/new-cars/info/22103/subaru-solterra-xt-electric/pricing,AWD 73.1 kWh,"$216,800","$129,910 (Category B COE)","$3,489 /yr","$45,000","$27,500 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22103/subaru-solterra-xt-electric/specs,Subaru Solterra XT Electric AWD 73.1 kWh (A),Dual Electric Motors,Lithium-Ion,Electric,All-wheel drive,Single-speed (A),252 kW (338 bhp),437 Nm,5.1 s (0-100 km/h),160 km/h,SUV,5,4690 x 1860 x 1650 mm,"2,850 mm","5,600 mm","2,050 kg",441 L,73.1 kWh,436 km,6.1 km/kWh,22 kW,3.3 h,150 kW,0.5 h,Macpherson Strut,Double Wishbone,Ventilated Disc,Ventilated Disc,"20 """
https://www.sgcarmart.com/new-cars/info/22070/leapmotor-c10-electric/pricing,69.9 kWh,"$181,999","$123,890 (Category A COE)","$1,502 /yr","$28,300","$1,620 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22070/leapmotor-c10-electric/specs,Leapmotor C10 Electric 69.9 kWh (A),Single Electric Motor,Lithium-ion,Electric,Rear-wheel drive,Single-speed (A),100 kW (134 bhp),320 Nm,10.7 s (0-100 km/h),170 km/h,SUV,5,4739 x 1900 x 1680 mm,"2,825 mm",unknown,"2,055 kg",435 L,69.9 kWh,419 km,5.3 km/kWh,11 kW,,84 kW,0.5 h,Macpherson Independent,Multi-Link,Ventilated Disc,Ventilated Disc,"20 """
https://www.sgcarmart.com/new-cars/info/21973/aion-v-electric/pricing,Premium 64.5 kWh,"$181,988","$123,890 (Category A COE)","$1,502 /yr","$28,000","$1,200 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21973/aion-v-electric/specs,Aion V Electric Luxury 75.3 kWh (A),Electric Motor,Lithium Iron Phosphate,Electric,Front-wheel drive,Single-speed (A),100 kW (134 bhp),240 Nm,9.8 s (0-100 km/h),160 km/h,SUV,5,4605 x 1854 x 1686 mm,"2,775 mm",unknown,"1,860 kg",427 L,64.5 kWh,435 km,6 km/kWh,6.6 kW,11 h,150 kW,0.3 h,Macpherson Independent,Torsion Beam,Ventilated Disc,Disc,"19 """
https://www.sgcarmart.com/new-cars/info/21973/aion-v-electric/pricing,Luxury 75.3 kWh,"$189,988","$123,890 (Category A COE)","$1,502 /yr","$32,000","$6,800 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21973/aion-v-electric/specs,Aion V Electric Luxury 75.3 kWh (A),Electric Motor,Lithium Iron Phosphate,Electric,Front-wheel drive,Single-speed (A),100 kW (134 bhp),240 Nm,9.8 s (0-100 km/h),160 km/h,SUV,5,4605 x 1854 x 1686 mm,"2,775 mm",unknown,"1,860 kg",427 L,75.3 kWh,485 km,5.8 km/kWh,6.6 kW,11.4 h,180 kW,0.3 h,Macpherson Independent,Torsion Beam,Ventilated Disc,Disc,"19 """
https://www.sgcarmart.com/new-cars/info/22058/im-5-ev/pricing,Luxury 75 kWh,"$228,888","$123,890 (Category A COE)","$1,554 /yr","$37,000","$13,800 (After VES & EEAI rebates)","$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22058/im-5-ev/specs,IM 5 EV Luxury 75 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Rear-wheel drive,Single-speed (A),109 kW (146 bhp),450 Nm,10.05 s (0-100 km/h),180 km/h,Luxury,5,4931 x 1960 x 1474 mm,"2,950 mm","4,990 mm","2,180 kg",457 L,75 kWh,440 km,5.2 km/kWh,11 kW,8.5 h,153 kW,0.4 h,Double Wishbone,Multi-Link,Ventilated Disc,Ventilated Disc,"19 """
